Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
"Apr 12, 2018",93.58,92.43,94.16,92.43,26.76M
"Apr 11, 2018",91.86,92.01,93.29,91.48,24.87M
"Apr 10, 2018",92.88,92.39,93.28,91.64,26.94M
"Apr 09, 2018",90.77,91.04,93.17,90.62,31.53M
"Apr 06, 2018",90.23,91.49,92.46,89.48,38.03M
"Apr 05, 2018",92.38,92.44,93.06,91.4,29.77M
"Apr 04, 2018",92.33,87.85,92.76,87.73,35.56M
"Apr 03, 2018",89.71,89.58,90.05,87.89,37.21M
"Apr 02, 2018",88.52,90.47,90.88,87.51,48.52M
"Mar 29, 2018",91.27,90.18,92.29,88.4,45.87M
"Mar 28, 2018",89.39,89.82,91.23,88.87,52.50M
"Mar 27, 2018",89.47,94.94,95.14,88.51,56.57M
"Mar 26, 2018",93.78,90.61,94.0,90.4,56.40M
"Mar 23, 2018",87.18,89.5,90.46,87.08,44.07M
"Mar 22, 2018",89.79,91.27,91.75,89.66,38.60M
"Mar 21, 2018",92.48,92.93,94.05,92.21,24.46M
"Mar 20, 2018",93.13,93.05,93.77,93.0,23.08M
"Mar 19, 2018",92.89,93.74,93.9,92.11,33.34M
"Mar 16, 2018",94.6,94.68,95.38,93.92,49.08M
"Mar 15, 2018",94.18,93.53,94.58,92.83,27.61M
"Mar 14, 2018",93.85,95.12,95.41,93.5,32.13M
"Mar 13, 2018",94.41,97.0,97.24,93.97,35.39M
"Mar 12, 2018",96.77,96.5,97.21,96.04,26.07M
"Mar 09, 2018",96.54,95.29,96.54,95.0,36.94M
"Mar 08, 2018",94.43,94.27,95.1,93.77,25.89M
"Mar 07, 2018",93.86,93.16,93.94,92.43,26.72M
"Mar 06, 2018",93.32,94.34,94.49,92.94,22.18M
"Mar 05, 2018",93.64,92.34,94.27,92.26,23.90M
"Mar 02, 2018",93.05,91.58,93.15,90.86,32.83M
"Mar 01, 2018",92.85,93.99,94.57,91.84,37.14M
"Feb 28, 2018",93.77,94.84,95.7,93.63,31.17M
"Feb 27, 2018",94.2,95.74,95.84,94.2,25.87M
"Feb 26, 2018",95.42,94.4,95.45,94.25,30.20M
"Feb 23, 2018",94.06,92.75,94.07,92.36,26.33M
"Feb 22, 2018",91.73,92.05,92.73,91.36,24.39M
"Feb 21, 2018",91.49,92.98,93.36,91.49,26.92M
"Feb 20, 2018",92.72,91.47,93.06,91.01,30.91M
"Feb 16, 2018",92.0,92.45,93.5,91.8,30.60M
"Feb 15, 2018",92.66,91.21,92.72,90.62,27.82M
"Feb 14, 2018",90.81,88.51,90.99,88.41,34.96M
"Feb 13, 2018",89.83,88.93,90.0,87.8,26.41M
"Feb 12, 2018",89.13,88.73,89.78,87.93,35.72M
"Feb 09, 2018",88.18,86.3,88.93,83.83,63.50M
"Feb 08, 2018",85.01,89.71,89.88,84.76,55.63M
